feature,importance,normalized_importance,cumulative_importance
Ускорение f1_290,9.000000000000002,0.0011083743842364535,0.9757389162561579
"Темп прироста 1 Заёмные средства (краткосрочные), RUB",9.000000000000002,0.0011083743842364535,0.9768472906403944
Темп роста 1 f1_190,9.000000000000002,0.0011083743842364535,0.9779556650246309
"Темп прироста 2 Кредиторская задолженность, RUB",9.000000000000002,0.0011083743842364535,0.9790640394088674
"Ускорение Заёмные средства (долгосрочные), RUB",7.999999999999999,0.0009852216748768472,0.9800492610837442
"Темп прироста 1 Краткосрочные обязательства, RUB",7.999999999999999,0.0009852216748768472,0.981034482758621
Ускорение K_17,7.999999999999999,0.0009852216748768472,0.9820197044334978
"Темп роста 1 Заёмные средства (долгосрочные), RUB",7.999999999999999,0.0009852216748768472,0.9830049261083746
Темп роста 1 K_5,7.000000000000001,0.0008620689655172415,0.9838669950738919
Темп прироста 2 K_1,7.000000000000001,0.0008620689655172415,0.9847290640394091
"Темп прироста 2 Заёмные средства (долгосрочные), RUB",7.000000000000001,0.0008620689655172415,0.9855911330049263
Темп прироста 2 f1_590,7.000000000000001,0.0008620689655172415,0.9864532019704435
"Ускорение Нематериальные активы, RUB",7.000000000000001,0.0008620689655172415,0.9873152709359607
"Темп прироста 1 Кредиторская задолженность, RUB",7.000000000000001,0.0008620689655172415,0.9881773399014779
"Ускорение Кредиторская задолженность, RUB",5.999999999999999,0.0007389162561576354,0.9889162561576356
"Темп прироста 1 Дебиторская задолженность, RUB",5.999999999999999,0.0007389162561576354,0.9896551724137932
Темп роста 1 f1_690,5.999999999999999,0.0007389162561576354,0.9903940886699508
Темп прироста 2 f1_490,5.999999999999999,0.0007389162561576354,0.9911330049261085
"Темп прироста 2 Оборотные активы, RUB",5.999999999999999,0.0007389162561576354,0.9918719211822661
"Темп прироста 1 Себестоимость продаж, RUB",5.999999999999999,0.0007389162561576354,0.9926108374384237
Ускорение K_11,5.999999999999999,0.0007389162561576354,0.9933497536945813
"Темп прироста 1 Заёмные средства (долгосрочные), RUB",5.0,0.0006157635467980296,0.9939655172413794
Темп роста 1 K_17,5.0,0.0006157635467980296,0.9945812807881774
"Темп прироста 2 Долгосрочные обязательства, RUB",5.0,0.0006157635467980296,0.9951970443349755
